760, 405.259, 53.282, 93.049, 8.53, 43.041, 61.452, 18.327
770, 416.74, 50.337, 97.951, 11.1, 46.554, 60.897, 19.444
780, 447.364, 52.839, 102.768, 8.603, 48.889, 64.968, 17.355
790, 451.825, 54.207, 105.911, 10.324, 48.841, 64.001, 19.164
800, 452.322, 55.414, 104.104, 9.072, 52.541, 64.584, 19.523
810, 468.714, 57.959, 108.29, 9.414, 50.837, 63.704, 22.413
820, 481.919, 55.24, 112.316, 9.819, 50.122, 65.673, 21.262
830, 507.986, 58.944, 116.633, 11.464, 49.992, 73.172, 24.469
840, 513.621, 61.303, 113.753, 11.384, 51.322, 72.227, 20.021
850, 540.109, 63.135, 118.798, 12.484, 55.14, 77.296, 22.589
860, 527.0, 61.906, 124.415, 9.141, 52.711, 69.651, 24.454
870, 538.766, 60.934, 127.796, 10.699, 45.623, 79.07, 22.04
880, 553.588, 65.805, 131.237, 9.691, 52.0, 75.523, 23.422
890, 576.018, 67.506, 135.351, 10.961, 54.723, 82.958, 21.724
900, 586.888, 69.494, 135.556, 13.282, 52.334, 82.756, 22.727
910, 676.825, 78.708, 159.812, 11.706, 65.27, 95.634, 26.052
920, 635.144, 76.639, 150.072, 11.702, 62.065, 86.434, 25.611
930, 627.772, 74.484, 146.214, 13.017, 57.152, 88.095, 24.282
940, 670.948, 81.149, 157.881, 9.813, 64.669, 91.718, 25.291
950, 679.387, 82.747, 153.057, 13.511, 64.565, 93.645, 27.154
960, 669.323, 77.515, 156.803, 11.225, 65.151, 90.92, 24.508
970, 690.176, 82.729, 159.571, 11.534, 64.371, 96.618, 27.255
980, 709.231, 79.945, 162.425, 10.837, 67.553, 98.727, 23.946
990, 710.727, 82.504, 161.576, 11.648, 60.391, 96.533, 29.352
1000, 739.619, 83.315, 167.034, 13.557, 65.793, 101.747, 28.447
