10, 0.005, 0.004
20, 0.005, 0.005
30, 0.005, 0.007
40, 0.005, 0.007
50, 0.046, 0.014
60, 0.007, 0.01
70, 0.007, 0.015
80, 0.009, 0.044
90, 0.01, 0.017
100, 0.009, 0.212
110, 0.057, 0.018
120, 0.009, 0.016
130, 0.011, 0.317
140, 0.01, 0.019
150, 0.01, 0.103
160, 0.013, 0.02
170, 0.015, 0.049
180, 0.012, 0.026
190, 0.013, 0.517
200, 0.02, 0.022
210, 0.121, 0.025
220, 0.126, 0.029
230, 0.033, 0.03
240, 0.012, 0.105
250, 0.015, 0.03
260, 0.015, 0.031
270, 0.011, 0.134
280, 0.372, 0.627
290, 0.015, 0.189
300, 0.115, 0.041
310, 0.013, 0.056
320, 0.012, 0.019
330, 0.011, 0.035
340, 0.012, 0.019
350, 0.015, 0.04
360, 0.017, 0.047
370, 0.015, 0.103
380, 0.015, 0.052
390, 0.015, 0.063
400, 0.053, 0.068
410, 0.013, 0.049
420, 0.013, 0.038
430, 0.026, 0.048
440, 0.02, 0.054
450, 0.017, 0.081
460, 0.017, 0.09
470, 0.03, 0.112
480, 0.016, 0.091
490, 0.016, 0.066
500, 0.062, 0.055
510, 0.015, 0.049
520, 0.015, 0.049
530, 0.016, 0.056
540, 0.014, 0.073
550, 0.037, 0.172
560, 0.024, 0.163
570, 0.018, 0.062
580, 0.021, 0.221
590, 0.024, 0.046
600, 0.193, 0.076
610, 0.018, 0.14
620, 0.023, 0.132
630, 0.025, 0.067
640, 0.169, 0.137
650, 0.022, 0.335
660, 0.076, 0.454
670, 0.016, 0.227
680, 0.021, 0.275
690, 0.041, 0.091
700, 0.016, 0.069
710, 0.017, 0.131
720, 0.067, 0.056
730, 0.03, 0.34
740, 0.017, 0.097
750, 0.016, 0.081
760, 0.017, 0.076
770, 0.046, 0.459
780, 0.091, 0.113
790, 0.374, 0.502
800, 0.017, 0.124
810, 0.017, 0.079
820, 0.017, 0.131
830, 0.016, 0.164
840, 0.023, 0.143
850, 0.021, 0.171
860, 0.018, 0.143
870, 0.13, 0.159
880, 0.034, 0.13
890, 0.019, 0.13
900, 0.017, 0.075
910, 0.018, 0.114
920, 0.018, 0.099
930, 0.019, 0.248
940, 0.014, 0.062
950, 0.076, 0.301
960, 0.022, 0.122
970, 0.018, 0.095
980, 0.022, 0.131
990, 0.018, 0.361
1000, 0.049, 0.544
